Algorithm,Graph,Vertices,Edges,Colors,Time(ms),Valid,Iterations,SolutionQuality,StabilityStdDev,MemoryUsageKB
Backtracking,data/small/correctness/sparse_8.txt,8,6,2,0.014,Yes,0,,0,0
DSATUR,data/small/correctness/sparse_8.txt,8,6,2,0.011,Yes,0,,0,0
SimulatedAnnealing,data/small/correctness/sparse_8.txt,8,6,5,61.606,Yes,0,,0,204
ConstraintProgramming,data/small/correctness/sparse_8.txt,8,6,2,0.007,Yes,0,,0,0
RLF,data/small/correctness/sparse_8.txt,8,6,2,0.012,Yes,0,,0,0
Backtracking,data/small/correctness/complete_5.txt,5,10,5,0.022,Yes,0,,0,0
DSATUR,data/small/correctness/complete_5.txt,5,10,5,0.006,Yes,0,,0,0
SimulatedAnnealing,data/small/correctness/complete_5.txt,5,10,8,63.065,Yes,0,,0,0
ConstraintProgramming,data/small/correctness/complete_5.txt,5,10,5,0.007,Yes,0,,0,0
RLF,data/small/correctness/complete_5.txt,5,10,5,0.01,Yes,0,,0,0
Backtracking,data/small/correctness/simple_6.txt,6,1,2,0.005,Yes,0,,0,0
DSATUR,data/small/correctness/simple_6.txt,6,1,2,0.01,Yes,0,,0,0
SimulatedAnnealing,data/small/correctness/simple_6.txt,6,1,4,57.841,Yes,0,,0,0
ConstraintProgramming,data/small/correctness/simple_6.txt,6,1,2,0.01,Yes,0,,0,0
RLF,data/small/correctness/simple_6.txt,6,1,2,0.013,Yes,0,,0,0
Backtracking,data/small/correctness/dense_10.txt,10,25,4,0.02,Yes,0,,0,0
DSATUR,data/small/correctness/dense_10.txt,10,25,4,0.017,Yes,0,,0,0
SimulatedAnnealing,data/small/correctness/dense_10.txt,10,25,7,130.719,Yes,0,,0,0
ConstraintProgramming,data/small/correctness/dense_10.txt,10,25,4,0.012,Yes,0,,0,0
RLF,data/small/correctness/dense_10.txt,10,25,4,0.021,Yes,0,,0,0
DSATUR,data/medium/performance/dense_100_060.txt,100,2972,23,0.571,Yes,0,,0,0
RLF,data/medium/performance/dense_100_060.txt,100,2972,24,0.845,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/dense_100_060.txt,100,2972,26,3122.15,Yes,0,,0,0
DSATUR,data/medium/performance/dense_200_040.txt,200,7925,24,1.377,Yes,0,,0,0
RLF,data/medium/performance/dense_200_040.txt,200,7925,26,2.353,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/dense_200_040.txt,200,7925,27,7580.34,Yes,0,,0,0
DSATUR,data/medium/performance/sparse_100_010.txt,100,468,6,0.302,Yes,0,,0,0
RLF,data/medium/performance/sparse_100_010.txt,100,468,7,0.72,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/sparse_100_010.txt,100,468,9,865.553,Yes,0,,0,0
DSATUR,data/medium/performance/sparse_300_005.txt,300,2220,7,1.987,Yes,0,,0,0
RLF,data/medium/performance/sparse_300_005.txt,300,2220,8,11.689,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/sparse_300_005.txt,300,2220,10,3304.47,Yes,0,,0,0
DSATUR,data/medium/performance/medium_100_030.txt,100,1512,12,0.361,Yes,0,,0,0
RLF,data/medium/performance/medium_100_030.txt,100,1512,13,0.615,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/medium_100_030.txt,100,1512,15,1825.83,Yes,0,,0,0
DSATUR,data/medium/performance/medium_300_020.txt,300,8883,19,2.489,Yes,0,,0,0
RLF,data/medium/performance/medium_300_020.txt,300,8883,20,5.926,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/medium_300_020.txt,300,8883,22,9100.44,Yes,0,,0,0
DSATUR,data/medium/performance/medium_200_025.txt,200,4970,18,1.237,Yes,0,,0,0
RLF,data/medium/performance/medium_200_025.txt,200,4970,18,2.474,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/medium_200_025.txt,200,4970,21,5075.42,Yes,0,,0,0
DSATUR,data/medium/performance/sparse_200_008.txt,200,1600,7,0.99,Yes,0,,0,0
RLF,data/medium/performance/sparse_200_008.txt,200,1600,8,3.479,Yes,0,,0,0
SimulatedAnnealing,data/medium/performance/sparse_200_008.txt,200,1600,10,2241.9,Yes,0,,0,0
DSATUR,data/large/scalability/sparse_500_005.txt,500,6309,10,5.537,Yes,0,,0,0
RLF,data/large/scalability/sparse_500_005.txt,500,6309,12,49.074,Yes,0,,0,0
SimulatedAnnealing,data/large/scalability/sparse_500_005.txt,500,6309,13,7897.95,Yes,0,,0,0
DSATUR,data/large/scalability/medium_1000_010.txt,1000,49744,26,38.054,Yes,0,,0,124
RLF,data/large/scalability/medium_1000_010.txt,1000,49744,30,128.289,Yes,0,,0,0
SimulatedAnnealing,data/large/scalability/medium_1000_010.txt,1000,49744,29,56308.8,Yes,0,,0,0
DSATUR,data/large/scalability/medium_500_015.txt,500,18703,21,9.643,Yes,0,,0,0
RLF,data/large/scalability/medium_500_015.txt,500,18703,23,34.948,Yes,0,,0,0
SimulatedAnnealing,data/large/scalability/medium_500_015.txt,500,18703,24,20349.7,Yes,0,,0,0
DSATUR,data/large/scalability/sparse_1000_002.txt,1000,10086,8,34.038,Yes,0,,0,0
RLF,data/large/scalability/sparse_1000_002.txt,1000,10086,10,392.229,Yes,0,,0,0
SimulatedAnnealing,data/large/scalability/sparse_1000_002.txt,1000,10086,11,14375.3,Yes,0,,0,0
